ZIP Code,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,id
90005,Los Angeles,CA,34.058911,-118.30848,-8,1,"34.058911,-118.30848",22
90007,Los Angeles,CA,34.026448,-118.2829,-8,1,"34.026448,-118.2829",22
90009,Los Angeles,CA,33.786594,-118.298662,-8,1,"33.786594,-118.298662",22
90011,Los Angeles,CA,34.007063,-118.25868,-8,1,"34.007063,-118.25868",22
90016,Los Angeles,CA,34.029711,-118.35255,-8,1,"34.029711,-118.35255",22
90018,Los Angeles,CA,34.029112,-118.3183,-8,1,"34.029112,-118.3183",22
90019,Los Angeles,CA,34.048411,-118.34015,-8,1,"34.048411,-118.34015",22
90024,Los Angeles,CA,34.063209,-118.43643,-8,1,"34.063209,-118.43643",22
90025,Los Angeles,CA,34.045006,-118.44527,-8,1,"34.045006,-118.44527",22
90027,Los Angeles,CA,34.111208,-118.28842,-8,1,"34.111208,-118.28842",22
90028,Los Angeles,CA,34.098859,-118.32745,-8,1,"34.098859,-118.32745",22
90029,Los Angeles,CA,34.090259,-118.29455,-8,1,"34.090259,-118.29455",22
90032,Los Angeles,CA,34.08166,-118.17568,-8,1,"34.08166,-118.17568",22
90033,Los Angeles,CA,34.050411,-118.21195,-8,1,"34.050411,-118.21195",22
90034,Los Angeles,CA,34.03056,-118.39804,-8,1,"34.03056,-118.39804",22
90035,Los Angeles,CA,34.05266,-118.38531,-8,1,"34.05266,-118.38531",22
90036,Los Angeles,CA,34.07036,-118.34926,-8,1,"34.07036,-118.34926",22
90037,Los Angeles,CA,34.002063,-118.28737,-8,1,"34.002063,-118.28737",22
90041,Los Angeles,CA,34.137557,-118.20765,-8,1,"34.137557,-118.20765",22
90044,Los Angeles,CA,33.953814,-118.29158,-8,1,"33.953814,-118.29158",22
90045,Los Angeles,CA,33.960041,-118.3949,-8,1,"33.960041,-118.3949",22
90048,Los Angeles,CA,34.073759,-118.37376,-8,1,"34.073759,-118.37376",22
90049,Los Angeles,CA,34.067409,-118.47528,-8,1,"34.067409,-118.47528",22
90057,Los Angeles,CA,34.061911,-118.27687,-8,1,"34.061911,-118.27687",22
90058,Los Angeles,CA,34.000219,-118.22605,-8,1,"34.000219,-118.22605",22
90059,Los Angeles,CA,33.927471,-118.24778,-8,1,"33.927471,-118.24778",22
90064,Los Angeles,CA,34.03457,-118.42843,-8,1,"34.03457,-118.42843",22
90065,Los Angeles,CA,34.107559,-118.22663,-8,1,"34.107559,-118.22663",22
90066,Los Angeles,CA,34.002011,-118.43083,-8,1,"34.002011,-118.43083",22
90068,Los Angeles,CA,34.122058,-118.3379,-8,1,"34.122058,-118.3379",22
90071,Los Angeles,CA,34.052709,-118.2559,-8,1,"34.052709,-118.2559",22
90073,Los Angeles,CA,33.786594,-118.298662,-8,1,"33.786594,-118.298662",22
90086,Los Angeles,CA,33.786594,-118.298662,-8,1,"33.786594,-118.298662",22
90089,Los Angeles,CA,33.786594,-118.298662,-8,1,"33.786594,-118.298662",22
90095,Los Angeles,CA,33.786594,-118.298662,-8,1,"33.786594,-118.298662",22
90210,Beverly Hills,CA,34.088808,-118.40612,-8,1,"34.088808,-118.40612",22
90212,Beverly Hills,CA,34.060859,-118.40191,-8,1,"34.060859,-118.40191",22
90230,Culver City,CA,33.997179,-118.40145,-8,1,"33.997179,-118.40145",22
90232,Culver City,CA,34.021611,-118.39168,-8,1,"34.021611,-118.39168",22
90245,El Segundo,CA,33.921313,-118.40843,-8,1,"33.921313,-118.40843",22
90250,Hawthorne,CA,33.914614,-118.35092,-8,1,"33.914614,-118.35092",22
90254,Hermosa Beach,CA,33.866314,-118.39968,-8,1,"33.866314,-118.39968",22
90266,Manhattan Beach,CA,33.88898,-118.40535,-8,1,"33.88898,-118.40535",22
90272,Pacific Palisades,CA,34.050505,-118.53374,-8,1,"34.050505,-118.53374",22
90274,Palos Verdes Peninsula,CA,33.784099,-118.38752,-8,1,"33.784099,-118.38752",22
90275,Rancho Palos Verdes,CA,33.758216,-118.36425,-8,1,"33.758216,-118.36425",22
90277,Redondo Beach,CA,33.828815,-118.38322,-8,1,"33.828815,-118.38322",22
90280,South Gate,CA,33.944264,-118.1949,-8,1,"33.944264,-118.1949",22
90291,Venice,CA,33.992411,-118.46531,-8,1,"33.992411,-118.46531",22
90304,Inglewood,CA,33.936163,-118.36076,-8,1,"33.936163,-118.36076",22
90401,Santa Monica,CA,34.01491,-118.4922,-8,1,"34.01491,-118.4922",22
90404,Santa Monica,CA,34.026959,-118.47432,-8,1,"34.026959,-118.47432",22
90405,Santa Monica,CA,34.009276,-118.47286,-8,1,"34.009276,-118.47286",22
90502,Torrance,CA,33.833416,-118.29198,-8,1,"33.833416,-118.29198",22
90503,Torrance,CA,33.840264,-118.35587,-8,1,"33.840264,-118.35587",22
90504,Torrance,CA,33.870414,-118.33065,-8,1,"33.870414,-118.33065",22
90505,Torrance,CA,33.810848,-118.35096,-8,1,"33.810848,-118.35096",22
90509,Torrance,CA,33.786594,-118.298662,-8,1,"33.786594,-118.298662",22
90601,Whittier,CA,34.002333,-118.03562,-8,1,"34.002333,-118.03562",22
90623,La Palma,CA,33.849327,-118.04395,-8,1,"33.849327,-118.04395",2956
90630,Cypress,CA,33.817481,-118.0399,-8,1,"33.817481,-118.0399",2956
90638,La Mirada,CA,33.90213,-118.00966,-8,1,"33.90213,-118.00966",22
90639,La Mirada,CA,33.905813,-118.018247,-8,1,"33.905813,-118.018247",22
90640,Montebello,CA,34.014212,-118.11358,-8,1,"34.014212,-118.11358",22
90650,Norwalk,CA,33.906914,-118.08339,-8,1,"33.906914,-118.08339",22
90717,Lomita,CA,33.793384,-118.31611,-8,1,"33.793384,-118.31611",22
90720,Los Alamitos,CA,33.794028,-118.07218,-8,1,"33.794028,-118.07218",2956
90740,Seal Beach,CA,33.759283,-118.08239,-8,1,"33.759283,-118.08239",2956
90745,Carson,CA,33.823765,-118.2668,-8,1,"33.823765,-118.2668",22
90747,Carson,CA,33.867138,-118.253825,-8,1,"33.867138,-118.253825",22
90755,Long Beach,CA,33.801783,-118.168691,-8,1,"33.801783,-118.168691",22
90813,Long Beach,CA,33.781011,-118.19197,-8,1,"33.781011,-118.19197",22
90840,Long Beach,CA,33.784266,-118.115698,-8,1,"33.784266,-118.115698",22
91006,Arcadia,CA,34.134057,-118.02662,-8,1,"34.134057,-118.02662",22
91007,Arcadia,CA,34.126957,-118.05216,-8,1,"34.126957,-118.05216",22
91016,Monrovia,CA,34.140806,-118.00184,-8,1,"34.140806,-118.00184",22
91024,Sierra Madre,CA,34.164806,-118.0509,-8,1,"34.164806,-118.0509",22
91030,South Pasadena,CA,34.112958,-118.15577,-8,1,"34.112958,-118.15577",22
91040,Sunland,CA,34.261221,-118.31887,-8,1,"34.261221,-118.31887",22
